TANGGAL,BULAN,TAHUN,CURAH HUJAN,,,,,,,
16,NOV,2018,"18,60",,,,,,,
17,NOV,2018,"27,40",,,,,,,
18,NOV,2018,"2,10",,,,,,,
19,NOV,2018,"3,70",,,,,,,
20,NOV,2018,"47,10",,,,,,,
21,NOV,2018,"21,80",,,,,,,
22,NOV,2018,,,,,,,,
23,NOV,2018,"33,80",,,,,,,
24,NOV,2018,,,,,,,,
25,NOV,2018,"28,00",,,,,,,
26,NOV,2018,,,,,,,,
27,NOV,2018,,,,,,,,
28,NOV,2018,,,,,,,,
29,NOV,2018,,,,,,,,
30,NOV,2018,,,,,,,,
31,NOV,2018,,,,,,,,
1,DES,2018,,,,,,,,
2,DES,2018,"28,00",,,,,,,
3,DES,2018,"11,20",,,,,,,
4,DES,2018,,,,,,,,
5,DES,2018,"6,10",,,,,,,
6,DES,2018,,,,,,,,
7,DES,2018,,,,,,,,
8,DES,2018,"17,90",,,,,,,
9,DES,2018,,,,,,,,
10,DES,2018,,,,,,,,
11,DES,2018,"0,60",,,,,,,
12,DES,2018,"6,90",,,,,,,
13,DES,2018,"79,30",,,,,,,
14,DES,2018,"26,30",,,,,,,
15,DES,2018,"22,00",,,,,,,
16,DES,2018,"0,70",,,,,,,
17,DES,2018,"30,00",,,,,,,
18,DES,2018,"19,40",,,,,,,
19,DES,2018,"11,40",,,,,,,
20,DES,2018,"12,10",,,,,,,
21,DES,2018,"9,20",,,,,,,
22,DES,2018,,,,,,,,
23,DES,2018,,,,,,,,
24,DES,2018,,,,,,,,
25,DES,2018,"3,70",,,,,,,
26,DES,2018,"29,50",,,,,,,
27,DES,2018,,,,,,,,
28,DES,2018,,,,,,,,
29,DES,2018,,,,,,,,
30,DES,2018,,,,,,,,
31,DES,2018,,,,,,,,
1,JAN,2017,"31,60",,,,,,,
2,JAN,2017,,,,,,,,
3,JAN,2017,"13,20",,,,,,,
4,JAN,2017,,,,,,,,
5,JAN,2017,,,,,,,,
6,JAN,2017,,,,,,,,
7,JAN,2017,,,,,,,,
8,JAN,2017,,,,,,,,
9,JAN,2017,,,,,,,,
10,JAN,2017,,,,,,,,
11,JAN,2017,,,,,,,,
