"","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","","","","8,70","","","6,90","70,00","","","","25,10"
"2","","","36,00","","","","","","","","",""
"3","17,30","","36,00","22,20","","15,00","","11,70","86,20","","","16,00"
"4","68,40","","","179,70","","10,00","","","","","","56,30"
"5","50,50","","11,50","179,70","","","","","","","19,50","27,70"
"6","7,50","","","","","7,40","8,00","","","1,50","","4,10"
"7","4,20","","","22,00","9,20","","","","","","26,00","5,80"
"8","","39,00","","15,80","","","","","","","20,50","12,00"
"9","16,40","","","","9,00","","34,70","","","","22,00",""
"10","13,20","","","","","","","","","","","22,60"
"11","77,20","12,00","","26,70","11,20","","","32,00","","","33,30","19,50"
"12","","","","","","","36,20","","","","",""
"13","","25,00","54,70","36,50","","","","","","","50,40",""
"14","","","","","11,60","","","","","","","21,80"
"15","","10,00","73,30","","","","","","","","19,00",""
"16","16,50","","","","","","","3,90","","","34,50",""
"17","23,70","","7,70","","","","","","","","19,70","137,50"
"18","","","","27,00","","","","","6,50","","",""
"19","","","","","","","","","","","",""
"20","","","","","18,00","","","43,50","","","",""
"21","","","72,80","","","","","","","","",""
"22","","","7,00","15,00","","16,50","","","","","",""
"23","","","","","","","","","","","14,20","38,20"
"24","","10,00","","125,50","12,50","","","","","","",""
"25","","","","36,00","","","","","","","",""
"26","","","5,50","","","14,70","","13,80","","","","2,90"
"27","10,30","","15,70","","","","","","21,60","","14,50",""
"28","","","","","3,30","","","","","","",""
"29","11,50","","5,50","","","18,80","","","","11,80","",""
"30","","","","","","21,50","","","","","55,50",""
"31","","","","","3,30","","","","","8,70","",""
"Hujan Maksimum","77,20","39,00","73,30","179,70","18,00","21,50","36,20","70,00","86,20","11,80","55,50","137,50"
"Jumlah Curah Hujan","316,70","96,00","325,70","694,80","78,10","103,90","85,80","174,90","114,30","22,00","329,10","389,50"
"Jumlah Hari Hujan","12","5","11","12","8","7","4","6","3","3","12","13"
"Jumlah Data ( 1-15 )","8","4","5","8","4","3","4","3","1","1","7","10"
"Jumlah Hujan ( 1 - 15 )","254,70","86,00","211,50","491,30","41,00","32,40","85,80","113,70","86,20","1,50","190,70","210,90"
"Jumlah Data ( 16-31 )","4","1","6","4","4","4","0","3","2","2","5","3"
"Jumlah Hujan ( 16 - 31 )","62,00","10,00","114,20","203,50","37,10","71,50","0,00","61,20","28,10","20,50","138,40","178,60"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 19","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 20","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 21","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","","","","80,00","","","","23,00","","","",""
"2","","35,30","","","40,00","","","17,00","12,50","","",""
"3","70,00","","55,50","90,30","","","46,50","","6,20","","33,00","15,50"
"4","","","","","","","","14,30","43,00","","","6,00"
"5","","","45,30","120,30","","13,00","","10,00","","","","28,20"
"6","40,50","20,50","","","","55,80","23,00","","43,10","","65,50","16,50"
"7","","","110,00","40,00","16,00","","","15,50","4,60","8,80","17,10",""
"8","","","50,50","","","","","13,90","","","",""
"9","65,30","","","","16,50","","","","3,50","","","34,80"
"10","","10,20","44,30","10,50","16,70","","","","","13,10","",""
"11","","","","","","54,70","","","","2,50","26,50","74,60"
"12","","","","","9,80","5,10","75,00","","","","",""
