TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
3,MEI,2019,"9,22"
4,MEI,2019,"8,83"
5,MEI,2019,"8,28"
6,MEI,2019,"7,70"
7,MEI,2019,"7,53"
8,MEI,2019,"7,29"
9,MEI,2019,"6,75"
10,MEI,2019,"6,24"
11,MEI,2019,"5,95"
12,MEI,2019,"5,88"
13,MEI,2019,"5,99"
14,MEI,2019,"5,88"
15,MEI,2019,"6,96"
16,MEI,2019,"7,95"
17,MEI,2019,"7,68"
18,MEI,2019,"7,29"
19,MEI,2019,"7,87"
20,MEI,2019,"7,94"
21,MEI,2019,"6,92"
22,MEI,2019,"6,14"
23,MEI,2019,"5,70"
24,MEI,2019,"5,39"
25,MEI,2019,"5,75"
26,MEI,2019,"6,42"
27,MEI,2019,"6,30"
28,MEI,2019,"6,19"
29,MEI,2019,"5,98"
30,MEI,2019,"5,31"
31,MEI,2019,"4,73"
1,JUNI,2019,"4,34"
2,JUNI,2019,"4,34"
3,JUNI,2019,"4,36"
4,JUNI,2019,"5,09"
5,JUNI,2019,"7,53"
6,JUNI,2019,"9,12"
7,JUNI,2019,"9,11"
8,JUNI,2019,"8,43"
9,JUNI,2019,"7,57"
10,JUNI,2019,"8,32"
11,JUNI,2019,"9,13"
12,JUNI,2019,"8,94"
13,JUNI,2019,"8,69"
14,JUNI,2019,"9,17"
15,JUNI,2019,"9,84"
16,JUNI,2019,"10,17"
17,JUNI,2019,"10,53"
18,JUNI,2019,"10,71"
19,JUNI,2019,"10,80"
20,JUNI,2019,"10,83"
21,JUNI,2019,"10,89"
22,JUNI,2019,"10,92"
23,JUNI,2019,"10,81"
24,JUNI,2019,"10,53"
25,JUNI,2019,"9,89"
26,JUNI,2019,"9,03"
27,JUNI,2019,"8,27"
28,JUNI,2019,"7,93"
29,JUNI,2019,"8,30"
30,JUNI,2019,"8,13"
31,JUNI,2019,
1,JULI,2019,"7,30"
2,JULI,2019,"6,70"
3,JULI,2019,"6,65"
4,JULI,2019,"6,20"
5,JULI,2019,"5,71"
6,JULI,2019,"5,40"
7,JULI,2019,"5,02"
8,JULI,2019,"4,68"
9,JULI,2019,"4,34"
10,JULI,2019,"4,02"
11,JULI,2019,"3,63"
